0 1 TRANS24492 tumblr_nbjsyhLncl1tujnioo1_500 What does the man do after look serious ?step back	What does the man do after look serious ?drink from a glass	What does the man do after look serious ?wave hand around	What does the man do after look serious ?slide on two wheels	What does the man do after look serious ?cross road
2 3 TRANS32412 tumblr_n9fxbgYr0K1rvpycko1_250 What does the man on the left do after toast another man ?inside box	What does the man on the left do after toast another man ?slide	What does the man on the left do after toast another man ?watch a person on right explaining	What does the man on the left do after toast another man ?raise left hand	What does the man on the left do after toast another man ?left of the room
3 0 TRANS17790 tumblr_nc54yuQ5gd1tl6y18o1_400 What does the lady do after stand ?lean back	What does the lady do after stand ?fly through the air	What does the lady do after stand ?cover face	What does the lady do after stand ?hit other player in head with ball	What does the lady do after stand ?trip over a player
4 1 TRANS51501 tumblr_nfv5xzlgj31u25yojo1_400 What does the man do before talk ?open mouth	What does the man do before talk ?shake head	What does the man do before talk ?close eye	What does the man do before talk ?run at car	What does the man do before talk ?point
0 4 TRANS31572 tumblr_nhn4qolyxQ1tgouwlo1_400 What does the lizard do after look at cat ?start at left	What does the lizard do after look at cat ?begin to unbutton blouse	What does the lizard do after look at cat ?close eye	What does the lizard do after look at cat ?play guitar	What does the lizard do after look at cat ?whip cat with tail
3 0 TRANS8808 tumblr_n9iy2q8Dyp1s9lomgo1_250 What does the man do after open door ?dance	What does the man do after open door ?chew on the card	What does the man do after open door ?backflips with scooter	What does the man do after open door ?disappeared	What does the man do after open door ?scurry away
0 3 TRANS43466 tumblr_npkxhturUR1uxcyego1_400 What does the man do after wave arm ?smile	What does the man do after wave arm ?laugh	What does the man do after wave arm ?ride a bike	What does the man do after wave arm ?step forward	What does the man do after wave arm ?hang
4 0 TRANS12927 tumblr_nb8c0panhq1tjisrpo1_250 What does the woman do before flip hair ?nod	What does the woman do before flip hair ?cover mouth	What does the woman do before flip hair ?pet puppy	What does the woman do before flip hair ?squat	What does the woman do before flip hair ?video on woman
0 3 TRANS33153 tumblr_nb9zafvwGL1rl5d36o1_500 What does the man do before lower hand ?sing	What does the man do before lower hand ?dig	What does the man do before lower hand ?eat	What does the man do before lower hand ?hand raise behind him	What does the man do before lower hand ?fail to kick a ball
1 2 TRANS35984 tumblr_neu0ownwqR1qlskl4o1_400 What does the man do after put up finger ?lean to right	What does the man do after put up finger ?smile	What does the man do after put up finger ?throw hand foward	What does the man do after put up finger ?begin to take off jacket	What does the man do after put up finger ?lift ball
0 4 TRANS2248 tumblr_na08xb9OsP1svos5ho1_400 What does the woman do after blink ?cover face	What does the woman do after blink ?wave hand	What does the woman do after blink ?sway side to side	What does the woman do after blink ?transfer it to the other hand	What does the woman do after blink ?chew gum
1 0 TRANS27349 tumblr_nfpco7YgzP1tqwtb6o1_500 What does the man do before turn and smile ?stand	What does the man do before turn and smile ?lick lips	What does the man do before turn and smile ?sleep	What does the man do before turn and smile ?fix shirt collar	What does the man do before turn and smile ?smoke
4 0 TRANS44369 tumblr_nr1qx68R9Q1uulsvio1_400 What does the dark haired man do before shout ?lean forward	What does the dark haired man do before shout ?stop	What does the dark haired man do before shout ?wait for ball	What does the dark haired man do before shout ?place behind door	What does the dark haired man do before shout ?catch a ball
1 4 TRANS34977 tumblr_nhzjwxHnfP1rc9onbo1_400 What does the woman on front do before wave at camera ?bounce around	What does the woman on front do before wave at camera ?lift a cat	What does the woman on front do before wave at camera ?bend over	What does the woman on front do before wave at camera ?raise hand	What does the woman on front do before wave at camera ?look ahead
2 1 TRANS6439 tumblr_nkhd92rnlh1txas8wo1_500 What does the man do before remove a paper from face ?slide into home	What does the man do before remove a paper from face ?wake up suddenly	What does the man do before remove a paper from face ?frown forehead	What does the man do before remove a paper from face ?bow	What does the man do before remove a paper from face ?pour water on the ground
3 1 TRANS21484 tumblr_nc2meimXrD1slwrsuo1_250 What does the raccoon do after climb on log ?falls	What does the raccoon do after climb on log ?have snow on face	What does the raccoon do after climb on log ?kiss man	What does the raccoon do after climb on log ?slide off of step	What does the raccoon do after climb on log ?blink eyes
1 0 TRANS28158 tumblr_nfjwwktcT61r5w452o1_500 What does the man do after talk with serious facial expression ?laugh	What does the man do after talk with serious facial expression ?cross the screen behind the woman dance	What does the man do after talk with serious facial expression ?reach for milk	What does the man do after talk with serious facial expression ?spread arm out	What does the man do after talk with serious facial expression ?stretch hand out
1 4 TRANS34562 tumblr_nihy8tTNKi1u6w5bko1_500 What does the man do after fall out from a box ?draw mustache on face with whip cream	What does the man do after fall out from a box ?slide down wall	What does the man do after fall out from a box ?lean head to the right	What does the man do after fall out from a box ?shoot ball	What does the man do after fall out from a box ?wake up
0 3 TRANS26043 tumblr_nair0h4zFL1snwq4go1_1280 What does the woman do before roll eye ?light	What does the woman do before roll eye ?dance forward	What does the woman do before roll eye ?smoke	What does the woman do before roll eye ?grab hair	What does the woman do before roll eye ?sing
4 2 TRANS19877 tumblr_njvwny9VqM1unlvlpo1_400 What does the singer do before camera rotate around him ?glance up at the sky	What does the singer do before camera rotate around him ?swallow	What does the singer do before camera rotate around him ?back to camera	What does the singer do before camera rotate around him ?brush hair	What does the singer do before camera rotate around him ?pose
0 2 TRANS31213 tumblr_nqa15veKk41tyb5l4o1_250 What does the man with curly hair do before put microphone to mouth ?scream	What does the man with curly hair do before put microphone to mouth ?eat	What does the man with curly hair do before put microphone to mouth ?step forward	What does the man with curly hair do before put microphone to mouth ?bite lip	What does the man with curly hair do before put microphone to mouth ?suck cigarette
2 0 TRANS15059 tumblr_nodi2rLQXk1tselino1_400 What does the woman on right do before fold right arm ?hit someone's hand	What does the woman on right do before fold right arm ?chew peanut butter	What does the woman on right do before fold right arm ?rub hand together	What does the woman on right do before fold right arm ?lean sideways	What does the woman on right do before fold right arm ?remove shirt
3 0 TRANS19558 tumblr_nczp2qvU8V1tsq7wxo1_400 What does the woman do after pick up napkin ?gently wipe finger and hand	What does the woman do after pick up napkin ?fail down	What does the woman do after pick up napkin ?run forward	What does the woman do after pick up napkin ?sign	What does the woman do after pick up napkin ?attack the dog
0 1 TRANS35689 tumblr_nc47bdxzrD1taknwvo1_500 What does the person on left do before laugh ?talk	What does the person on left do before laugh ?lift hand up	What does the person on left do before laugh ?play on step	What does the person on left do before laugh ?shoot puck	What does the person on left do before laugh ?okay
4 2 TRANS6430 tumblr_nguilcoM241r74jdyo1_250 What does the blonde man do after face wall ?salute	What does the blonde man do after face wall ?blank face	What does the blonde man do after face wall ?spin in place	What does the blonde man do after face wall ?fire canons	What does the blonde man do after face wall ?lunge right leg
3 1 TRANS37952 tumblr_nqvj8l4kcT1uq7zwjo1_400 What does the man do after hug toy ?stand in the room	What does the man do after hug toy ?twitch mouth	What does the man do after hug toy ?place flare on motorcycle driver	What does the man do after hug toy ?step away	What does the man do after hug toy ?pick up bottle
0 2 TRANS35656 tumblr_noqt1xz8xT1tfrbpqo1_400 What does the reporter do after talk to a microphone ?play the drum	What does the reporter do after talk to a microphone ?open mouth	What does the reporter do after talk to a microphone ?shake head	What does the reporter do after talk to a microphone ?close eye	What does the reporter do after talk to a microphone ?reach towards a man
2 1 TRANS7228 tumblr_nd6tq5naM61sq9h0ho1_400 What does the woman do after cover mouth ?sniff hedgehog	What does the woman do after cover mouth ?wave hand	What does the woman do after cover mouth ?rub perfume on the right	What does the woman do after cover mouth ?squint eye	What does the woman do after cover mouth ?on the ground
3 0 TRANS21289 tumblr_nejtlgrkmT1u1pi4oo1_400 What does the woman do before lick lips ?open mouth	What does the woman do before lick lips ?spin	What does the woman do before lick lips ?shake head	What does the woman do before lick lips ?blink eyes	What does the woman do before lick lips ?count with finger
2 1 TRANS31660 tumblr_na5e7cqw5L1r7w2obo1_r3_500 What does the girl do after smile ?reach across table	What does the girl do after smile ?laugh	What does the girl do after smile ?stretch arm out like he's blow the kiss	What does the girl do after smile ?slide down hill	What does the girl do after smile ?step with left leg
2 1 TRANS19942 tumblr_n930rehOiH1t3eg01o1_400 What does the girl with long hair do after open mouth ?glance into mirror	What does the girl with long hair do after open mouth ?play with dog	What does the girl with long hair do after open mouth ?lean back	What does the girl with long hair do after open mouth ?hug a person	What does the girl with long hair do after open mouth ?smoke come out
4 3 TRANS2380 tumblr_n9hseziTAg1rk979lo1_250 What does the guy in back do after sneak up behind ?uncover eye	What does the guy in back do after sneak up behind ?frown	What does the guy in back do after sneak up behind ?bark at cat	What does the guy in back do after sneak up behind ?hide	What does the guy in back do after sneak up behind ?swing hair back
3 0 TRANS45748 tumblr_nk5q2mZhE21u7s4oro1_400 What does the hand man do after stand ?lay down	What does the hand man do after stand ?kick	What does the hand man do after stand ?run out of the snow	What does the hand man do after stand ?flip	What does the hand man do after stand ?happy
4 0 TRANS58054 tumblr_naxjabeSW11t2s1j1o1_500 What does the man in hat do after face camera ?raise fist	What does the man in hat do after face camera ?smile	What does the man in hat do after face camera ?pick up a paper	What does the man in hat do after face camera ?stick out tongue	What does the man in hat do after face camera ?look right
1 0 TRANS23463 tumblr_nhpobpFbtO1u5epaoo1_400 What does the boy do before touch girls face ?extend thumb	What does the boy do before touch girls face ?laugh	What does the boy do before touch girls face ?scared	What does the boy do before touch girls face ?dance	What does the boy do before touch girls face ?bite a medal
0 2 TRANS27955 tumblr_nq3fkqcRYs1tcxh18o1_250 What does the man do before pull back and exhale ?smile	What does the man do before pull back and exhale ?kiss man	What does the man do before pull back and exhale ?shift eye	What does the man do before pull back and exhale ?sing	What does the man do before pull back and exhale ?hug an older man
0 4 TRANS6429 tumblr_nguilcoM241r74jdyo1_250 What does the blonde man do before spin in place ?sprinkle dot	What does the blonde man do before spin in place ?drink something from a bottle	What does the blonde man do before spin in place ?ifts a hand to the camera	What does the blonde man do before spin in place ?release him	What does the blonde man do before spin in place ?face wall
0 1 TRANS57197 tumblr_nhy4mwvSbf1u05z12o1_500 What does the lady do before dance with man ?move hand	What does the lady do before dance with man ?drink from glass	What does the lady do before dance with man ?close the door car	What does the lady do before dance with man ?run on a field	What does the lady do before dance with man ?push glass up
2 0 TRANS46056 tumblr_nekejw2Vnh1tpgapwo1_500 What does the man on the left do after laugh ?pound the table with hand	What does the man on the left do after laugh ?smile	What does the man on the left do after laugh ?talk	What does the man on the left do after laugh ?open hand	What does the man on the left do after laugh ?lie on the bed
2 3 TRANS39518 tumblr_nark4prC5V1sj6jsio1_400 What does the woman do after adjust sunglasses ?kick leg	What does the woman do after adjust sunglasses ?ride a bike	What does the woman do after adjust sunglasses ?flip body	What does the woman do after adjust sunglasses ?spread out arm	What does the woman do after adjust sunglasses ?lift arm up
1 0 TRANS13835 tumblr_nbp2e0Uw4E1sj5pwvo1_400 What does the man do before watch boys ?drop arm	What does the man do before watch boys ?smile	What does the man do before watch boys ?smiling	What does the man do before watch boys ?hug a person	What does the man do before watch boys ?smiles
4 2 TRANS12427 tumblr_naidmtIv1H1twoe5do1_400 What does the kitten do before touch mouth ?stare left	What does the kitten do before touch mouth ?sing into microphone	What does the kitten do before touch mouth ?wave	What does the kitten do before touch mouth ?chew	What does the kitten do before touch mouth ?eat it out of hand
1 2 TRANS32037 tumblr_n932r0pFvS1tuatvvo1_400 What does the woman with a red clothe do before wave ?breathe out	What does the woman with a red clothe do before wave ?dance	What does the woman with a red clothe do before wave ?pick up hat	What does the woman with a red clothe do before wave ?lie between two chair	What does the woman with a red clothe do before wave ?lean forward
