4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
0 1 TRANS33697 tumblr_n95d2oPwhy1suyqwko1_400 What does the puppy do before get up to play ?watch through the window	What does the puppy do before get up to play ?lay down	What does the puppy do before get up to play ?miss soccer ball	What does the puppy do before get up to play ?bounce back from the rear of box ring	What does the puppy do before get up to play ?spin in place
2 0 TRANS29923 tumblr_nc9r9w1xkp1r1pnkho1_250 What does the man do before start talk ?rub hair with hand	What does the man do before start talk ?play with tongue	What does the man do before start talk ?show the thumb up sign with a hand	What does the man do before start talk ?change glass	What does the man do before start talk ?reach for something inside the closet
0 2 TRANS17742 tumblr_nb74rb1LU51sr1dz7o1_400 What does the woman do after look at the camera ?blink	What does the woman do after look at the camera ?concentrate on something	What does the woman do after look at the camera ?open mouth	What does the woman do after look at the camera ?shake body	What does the woman do after look at the camera ?grind on rail
2 0 TRANS10391 tumblr_nrg4tlUJav1uahhyco1_250 What does the woman who wear a cap do before move away ?wave hand	What does the woman who wear a cap do before move away ?play drum	What does the woman who wear a cap do before move away ?lean forward	What does the woman who wear a cap do before move away ?sway head	What does the woman who wear a cap do before move away ?sniff the girl
2 0 TRANS47311 tumblr_n9pb8zOyw21sk66qto1_250 What does the woman do before touch hair ?adjust seat	What does the woman do before touch hair ?walk backward	What does the woman do before touch hair ?laugh	What does the woman do before touch hair ?talk to a man	What does the woman do before touch hair ?blow kiss
1 4 TRANS27545 tumblr_ngqv0fIvLp1qd80wyo1_400 What does the man do before stand up ?dance	What does the man do before stand up ?lean back	What does the man do before stand up ?drag head on ground	What does the man do before stand up ?spin around	What does the man do before stand up ?sign picture
1 4 TRANS12448 tumblr_ncusywWoFr1skzykeo1_250 What does the man on right do after stare down ?blink	What does the man on right do after stare down ?blank face	What does the man on right do after stare down ?stare at boy	What does the man on right do after stare down ?pop bubble	What does the man on right do after stare down ?raise right hand
1 3 TRANS27484 tumblr_n8ott1a35b1tgkdkbo1_400 What does the person do after make a shock wave ?fix shirt	What does the person do after make a shock wave ?flip off track	What does the person do after make a shock wave ?stare someone	What does the person do after make a shock wave ?spread right fingers	What does the person do after make a shock wave ?punch guy
4 1 TRANS39054 tumblr_nka49rCQ1x1u5t7nqo1_400 What does the man who hold a plastic wrap do after sneak up on guy against wall ?hit from behind	What does the man who hold a plastic wrap do after sneak up on guy against wall ?attach a guy on the wall with plastic wrap	What does the man who hold a plastic wrap do after sneak up on guy against wall ?smile	What does the man who hold a plastic wrap do after sneak up on guy against wall ?walk	What does the man who hold a plastic wrap do after sneak up on guy against wall ?surprise
3 2 TRANS45044 tumblr_ncecowzOHz1tky8vdo1_400 What does the girl in red do after run ?close mouth	What does the girl in red do after run ?open object	What does the girl in red do after run ?shake pony tail	What does the girl in red do after run ?run forward	What does the girl in red do after run ?point to the camera
1 2 TRANS19038 tumblr_n9a9aqzQdp1saga3vo1_400 What does the man do after tongue out ?hit mom	What does the man do after tongue out ?extend hand outward	What does the man do after tongue out ?smiling	What does the man do after tongue out ?run on floor	What does the man do after tongue out ?cover mouth
4 2 TRANS37576 tumblr_naa11tbBvx1tebyg2o1_400 What does the boy on left do after look at other boy ?eat it	What does the boy on left do after look at other boy ?lean down	What does the boy on left do after look at other boy ?wave arm around	What does the boy on left do after look at other boy ?stay on the floor	What does the boy on left do after look at other boy ?hide behind the other person
2 1 TRANS30409 tumblr_nr77in6HRv1urraj4o1_500 What does the man do before open mouth ?open mouth	What does the man do before open mouth ?shake head	What does the man do before open mouth ?play guitar	What does the man do before open mouth ?outside	What does the man do before open mouth ?close mouth
4 2 TRANS53476 tumblr_nfnmsjSHVf1qls6cvo1_r1_500 What does the woman do after talk ?touch a man's face	What does the woman do after talk ?smile with mouth open	What does the woman do after talk ?raise eyebrows	What does the woman do after talk ?pick up ball	What does the woman do after talk ?stick out tongue
4 1 TRANS53795 tumblr_ndbt26IRlT1rwp7r4o1_500 What does the man in hall do before turn around ?talk to camera	What does the man in hall do before turn around ?grab girl by the arm	What does the man in hall do before turn around ?smile	What does the man in hall do before turn around ?fall off bike	What does the man in hall do before turn around ?face to the side
0 4 TRANS17181 tumblr_ncwdw47Vym1thhvxoo1_400 What does the girl do before talk ?stare themselves	What does the girl do before talk ?chew on fur	What does the girl do before talk ?fix dress	What does the girl do before talk ?eat meat	What does the girl do before talk ?wave
3 1 TRANS21309 tumblr_no3egvvTIl1rj2ui6o1_400 What does the man on center do before turn around ?in front of camera	What does the man on center do before turn around ?clap	What does the man on center do before turn around ?reach out	What does the man on center do before turn around ?run on bus	What does the man on center do before turn around ?on bed
4 2 TRANS39604 tumblr_nd321grlU71tsxw1zo1_400 What does the girl do after run ?kiss	What does the girl do after run ?draw	What does the girl do after run ?slow down	What does the girl do after run ?head straight	What does the girl do after run ?lift head
2 0 TRANS28169 tumblr_nhywm4Iq3L1rbdewvo1_500 What does the man do before shove other man's face ?laugh	What does the man do before shove other man's face ?cross eye	What does the man do before shove other man's face ?reach for axe	What does the man do before shove other man's face ?spread hand out	What does the man do before shove other man's face ?stretch arms
4 2 TRANS18765 tumblr_n8vicp8VBy1t4pld3o1_400 What does the woman do before put up two fingers ?cover ears	What does the woman do before put up two fingers ?step up	What does the woman do before put up two fingers ?drink	What does the woman do before put up two fingers ?bump beers	What does the woman do before put up two fingers ?extend hand
0 2 TRANS34555 tumblr_nkri3vybCq1tnv2gbo1_400 What does the girl on left do before wave a hand ?bend head	What does the girl on left do before wave a hand ?slide down the rail	What does the girl on left do before wave a hand ?say something	What does the girl on left do before wave a hand ?lift knee up	What does the girl on left do before wave a hand ?flip over podium
1 2 TRANS31986 tumblr_ncpf2tLxkQ1twoe5do1_400 What does the man on the right do after hold arm up ?watch the game	What does the man on the right do after hold arm up ?slide on belly	What does the man on the right do after hold arm up ?raise a trumpet	What does the man on the right do after hold arm up ?inside car	What does the man on the right do after hold arm up ?suck in smoke
3 0 TRANS42846 tumblr_nk0daewIku1qhhc4qo1_500 What does the man do after shake a hand ?hug the man	What does the man do after shake a hand ?run	What does the man do after shake a hand ?start to wave the stick in the air	What does the man do after shake a hand ?have hand with the stick in the air	What does the man do after shake a hand ?open mouth
2 3 TRANS57871 tumblr_nknokcptLl1s00ofxo1_500 What does the man do before point it at mirror ?smile with lift mouth up	What does the man do before point it at mirror ?fall over	What does the man do before point it at mirror ?sit on leg	What does the man do before point it at mirror ?unlock gun	What does the man do before point it at mirror ?lay still
1 2 TRANS50169 tumblr_nknodg8h931slwpo8o1_250 What does the cat do before stand up ?touch man's back	What does the cat do before stand up ?pick up cat	What does the cat do before stand up ?lie down	What does the cat do before stand up ?start smile	What does the cat do before stand up ?grab shirt
3 2 TRANS7751 tumblr_nf3uzbrHlA1rmgp3fo1_500 What does the man do before point a gun at the camera ?nod	What does the man do before point a gun at the camera ?drive	What does the man do before point a gun at the camera ?smoke something	What does the man do before point a gun at the camera ?play with hair	What does the man do before point a gun at the camera ?pucker lips
2 4 TRANS20109 tumblr_ne9tgsqfqo1snrb8oo1_400 What does the man do before make hand gesture ?approach man for hug	What does the man do before make hand gesture ?adjust the saddle	What does the man do before make hand gesture ?circle finger	What does the man do before make hand gesture ?show a peace sign	What does the man do before make hand gesture ?blow smoke
1 0 TRANS38147 tumblr_nc40txavRM1tm4pbeo1_400 What does the man do before start running ?clap hands	What does the man do before start running ?run	What does the man do before start running ?over a vechicle	What does the man do before start running ?reach out arm to grab	What does the man do before start running ?looking at the girl
3 1 TRANS11862 tumblr_nedri9dH3Q1u2sl2ko1_250 What does the woman do after adjust hair ?talk	What does the woman do after adjust hair ?lower hand	What does the woman do after adjust hair ?stare	What does the woman do after adjust hair ?smile	What does the woman do after adjust hair ?crash on track
1 0 TRANS48967 tumblr_nfvmweoKSc1tldu19o1_500 What does the man do before bounce ?cross arm	What does the man do before bounce ?talk	What does the man do before bounce ?shake both hands and hips	What does the man do before bounce ?laugh	What does the man do before bounce ?smile
4 3 TRANS45412 tumblr_nbqwjcLhXN1tjxypdo1_400 What does the boy in back do after try to occlude the party hat ?drop hands	What does the boy in back do after try to occlude the party hat ?run	What does the boy in back do after try to occlude the party hat ?kick	What does the boy in back do after try to occlude the party hat ?smile	What does the boy in back do after try to occlude the party hat ?raise head
0 4 TRANS35469 tumblr_ncw0wcn5Ew1tijnqno1_500 What does the man do before lift legs ?raise legs	What does the man do before lift legs ?step back	What does the man do before lift legs ?hit head on ground	What does the man do before lift legs ?lean forward	What does the man do before lift legs ?hang on a pole
2 3 TRANS11757 tumblr_nj0gp8UaPp1u9c93ao1_400 What does the man do before touch to vest ?point	What does the man do before touch to vest ?flex muscle	What does the man do before touch to vest ?frame face with hand	What does the man do before touch to vest ?sing a song	What does the man do before touch to vest ?brush hair back
3 4 TRANS28627 tumblr_nkwg77Ux711r5ygbco1_250 What does the dog do before eat snow ?flip hair back	What does the dog do before eat snow ?bounce on ball	What does the dog do before eat snow ?smoke	What does the dog do before eat snow ?scream	What does the dog do before eat snow ?follow hand
0 4 TRANS39433 tumblr_nc7s8t8qVf1tumc0bo1_400 What does the ball do before down ?spin in place	What does the ball do before down ?bite sandwich	What does the ball do before down ?flip robot	What does the ball do before down ?swing weapon up	What does the ball do before down ?up
1 0 TRANS30748 tumblr_njzwmugnk81un3o29o1_400 What does the person do after jump ?spin around	What does the person do after jump ?man start lunge	What does the person do after jump ?open eye	What does the person do after jump ?looking down	What does the person do after jump ?hug woman
2 3 TRANS37516 tumblr_ngcjwxoMKi1r0eijdo1_400 What does the man do after sit in manhole ?smile	What does the man do after sit in manhole ?touch tongue	What does the man do after sit in manhole ?speak into mic	What does the man do after sit in manhole ?climb to street	What does the man do after sit in manhole ?talk
0 3 TRANS19589 tumblr_nftwuicUUR1rmlxeco1_400 What does the woman do before cover mouth ?rub neck	What does the woman do before cover mouth ?lean forward	What does the woman do before cover mouth ?eat something	What does the woman do before cover mouth ?wave hand	What does the woman do before cover mouth ?tie string
1 0 TRANS25846 tumblr_n8tkdr4Eby1rdyrrfo1_400 What does the lady do after hit head ?shock	What does the lady do after hit head ?lean back	What does the lady do after hit head ?walk sand	What does the lady do after hit head ?fly	What does the lady do after hit head ?pass ball to another person
4 3 TRANS25084 tumblr_njwb3012Rt1tdkk34o1_250 What does the woman on right do after dance ?on	What does the woman on right do after dance ?cross arm	What does the woman on right do after dance ?lower body down	What does the woman on right do after dance ?laugh	What does the woman on right do after dance ?wave a hand
4 1 TRANS12490 tumblr_nl1flazV921remizro1_400 What does the boy who hold a microphone do after stand ?talk	What does the boy who hold a microphone do after stand ?bow head	What does the boy who hold a microphone do after stand ?drives around the bend	What does the boy who hold a microphone do after stand ?concern	What does the boy who hold a microphone do after stand ?run from bus explosion
0 2 TRANS49698 tumblr_nf6zp7LfQP1t4c82lo1_250 What does the guy in white shirt do after make o shape with mouth ?shake body	What does the guy in white shirt do after make o shape with mouth ?walk forward	What does the guy in white shirt do after make o shape with mouth ?form gun with finger	What does the guy in white shirt do after make o shape with mouth ?throw baseball pitch	What does the guy in white shirt do after make o shape with mouth ?laugh
1 3 TRANS56560 tumblr_nowv0v6oWj1uwbrato1_500 What does the girl do after run ?push up back screen	What does the girl do after run ?throw an object	What does the girl do after run ?blow up	What does the girl do after run ?look around herself	What does the girl do after run ?knock over girl
2 4 TRANS53111 tumblr_np8ivduhRk1tn6pbso1_500 What does the woman do before raise the other ?stick out tongue	What does the woman do before raise the other ?smile	What does the woman do before raise the other ?touch face	What does the woman do before raise the other ?pick up dog	What does the woman do before raise the other ?raise one hand
0 3 TRANS22372 tumblr_nkwv06B3Ng1t5jzovo1_400 What does the man do after lick lips ?shift eye	What does the man do after lick lips ?point	What does the man do after lick lips ?lower arm	What does the man do after lick lips ?sing	What does the man do after lick lips ?stretch
0 1 TRANS25826 tumblr_nbl9ehQkxc1slwrsuo1_400 What does the man do after touch dog with left hand ?climb up to table	What does the man do after touch dog with left hand ?touch dog with right hand	What does the man do after touch dog with left hand ?ride a wave	What does the man do after touch dog with left hand ?chase it	What does the man do after touch dog with left hand ?pose in the wind
1 2 TRANS43804 tumblr_nbwu6g8ViV1s5112po1_500 What does the man do after walks ?step back	What does the man do after walks ?run	What does the man do after walks ?hugs	What does the man do after walks ?start to kiss	What does the man do after walks ?raise eyebrows
0 1 TRANS33373 tumblr_nhq77je8AI1rku1hfo1_400 What does the guy do before keep walk ?lean in	What does the guy do before keep walk ?stop	What does the guy do before keep walk ?bounce	What does the guy do before keep walk ?touch neck	What does the guy do before keep walk ?swing arm
4 3 TRANS48468 tumblr_na02l5mrrH1tgetb4o1_400 What does the bird do after pick up ?face right	What does the bird do after pick up ?smile	What does the bird do after pick up ?flip gun into the air	What does the bird do after pick up ?feed other animals	What does the bird do after pick up ?walk
2 3 TRANS37647 tumblr_nojismJxtD1r90etqo1_400 What does the man do before fix hair ?looking up	What does the man do before fix hair ?smile	What does the man do before fix hair ?lean toward man on right	What does the man do before fix hair ?strike person	What does the man do before fix hair ?flip
3 0 TRANS17722 tumblr_nfeuh8BWNQ1twbhg8o1_400 What does the girl who appeared from left do after hug friend ?fall back	What does the girl who appeared from left do after hug friend ?wipe face	What does the girl who appeared from left do after hug friend ?lick the dog	What does the girl who appeared from left do after hug friend ?hug man	What does the girl who appeared from left do after hug friend ?jerk head
0 3 TRANS12314 tumblr_nc8ycuT8Be1ris70bo1_400 What does the man do after hold finger into a fist ?blank face	What does the man do after hold finger into a fist ?stare someone	What does the man do after hold finger into a fist ?freak out	What does the man do after hold finger into a fist ?raise finger	What does the man do after hold finger into a fist ?punch air
3 4 TRANS27809 tumblr_nrf9zjY0WI1tjgql6o1_400 What does the man on left do before play air drum ?lick other cat	What does the man on left do before play air drum ?kiss another man	What does the man on left do before play air drum ?shake right shoulder	What does the man on left do before play air drum ?sing	What does the man on left do before play air drum ?point
3 2 TRANS55367 tumblr_nau25zCJpy1tee2zqo1_500 What does the man on center do before get covered by others ?talk	What does the man on center do before get covered by others ?smile	What does the man on center do before get covered by others ?pull shirt up	What does the man on center do before get covered by others ?walk to front of stage	What does the man on center do before get covered by others ?face each other
3 0 TRANS55628 tumblr_n8xmz9ajod1tgh87to1_400 What does the man in suit do after smile ?speak	What does the man in suit do after smile ?grab the plate	What does the man in suit do after smile ?run	What does the man in suit do after smile ?stick out tongue	What does the man in suit do after smile ?throw up right hand
