0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
1 2 TRANS828 tumblr_naymij4o491rnas60o1_250 What does the person do after stand ?peforrms a skateborad trick	What does the person do after stand ?pounce on mouse	What does the person do after stand ?shake legs and butt	What does the person do after stand ?flinch	What does the person do after stand ?show thumb up sign with two hand
1 3 TRANS34280 tumblr_nppnpzGIMu1sgpl4mo1_400 What does the man do after sing ?stuff other guy's mouth with food	What does the man do after sing ?talk	What does the man do after sing ?play with balloon	What does the man do after sing ?bend down	What does the man do after sing ?happy
4 2 TRANS42161 tumblr_nfuupwrYOz1u4njrjo1_500 What does the woman do beforehand down ?ride a bike	What does the woman do beforehand down ?wake up	What does the woman do beforehand down ?hand in front of face	What does the woman do beforehand down ?talk on the cell phone	What does the woman do beforehand down ?jump
2 4 TRANS49497 tumblr_na16ibZJOM1srrcbio1_500 What does the man do before raise eyebrows ?raise arm	What does the man do before raise eyebrows ?shake hand of man with white hat	What does the man do before raise eyebrows ?smile	What does the man do before raise eyebrows ?blow a kiss	What does the man do before raise eyebrows ?point finger
1 0 TRANS30748 tumblr_njzwmugnk81un3o29o1_400 What does the person do after jump ?spin around	What does the person do after jump ?man start lunge	What does the person do after jump ?open eye	What does the person do after jump ?looking down	What does the person do after jump ?hug woman
1 3 TRANS5897 tumblr_nes9niKscF1u04u4bo1_250 What does the man do before close eye ?drink from coffee pot	What does the man do before close eye ?blink eyes	What does the man do before close eye ?flick hat up	What does the man do before close eye ?press lips together	What does the man do before close eye ?dunk a basketball
3 1 TRANS30409 tumblr_nr77in6HRv1urraj4o1_500 What does the man do before open mouth ?open mouth	What does the man do before open mouth ?shake head	What does the man do before open mouth ?play guitar	What does the man do before open mouth ?outside	What does the man do before open mouth ?close mouth
2 4 TRANS20109 tumblr_ne9tgsqfqo1snrb8oo1_400 What does the man do before make hand gesture ?approach man for hug	What does the man do before make hand gesture ?adjust the saddle	What does the man do before make hand gesture ?circle finger	What does the man do before make hand gesture ?show a peace sign	What does the man do before make hand gesture ?blow smoke
3 2 TRANS6711 tumblr_nhwa4g9HTq1u5fqz8o1_400 What does the person do before run it across the skin ?smile and lower hand	What does the person do before run it across the skin ?inhale smoke	What does the person do before run it across the skin ?lower the gun	What does the person do before run it across the skin ?kiss girl	What does the person do before run it across the skin ?pout lips
2 0 TRANS13067 tumblr_ndnukojLjK1sx7rvmo1_400 What does the girl do before put down hand ?shake hand over the head	What does the girl do before put down hand ?on track	What does the girl do before put down hand ?open hand	What does the girl do before put down hand ?cover face	What does the girl do before put down hand ?feed cake
