1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 0 TRANS35416 tumblr_ncs3d4Hye11tb92v8o1_400 What does the knee do after straight ?bend	What does the knee do after straight ?talk to camera	What does the knee do after straight ?play with it	What does the knee do after straight ?happy	What does the knee do after straight ?surprised
4 3 TRANS34962 tumblr_nak0l8OX8X1tatohao1_400 What does the man do after sit quietly ?lift leg	What does the man do after sit quietly ?step backwards	What does the man do after sit quietly ?place hand on the escalator	What does the man do after sit quietly ?scream ow	What does the man do after sit quietly ?draw a letter
2 4 TRANS46521 tumblr_neu6uaeLfl1thwotuo1_400 What does the man do before laugh ?point and smile	What does the man do before laugh ?open	What does the man do before laugh ?close mouth	What does the man do before laugh ?run to dive	What does the man do before laugh ?shake fist
1 4 TRANS21413 tumblr_nr4yfgSIEU1u7r745o1_500 What does the man do before swing hair ?bottom of hill	What does the man do before swing hair ?point finger	What does the man do before swing hair ?lower a microphone	What does the man do before swing hair ?shift to left	What does the man do before swing hair ?sing
4 0 TRANS39442 tumblr_nnkpi9gRWK1s778oho1_400 What does the band do after remove the coat ?dance	What does the band do after remove the coat ?point	What does the band do after remove the coat ?lift woman	What does the band do after remove the coat ?close fist	What does the band do after remove the coat ?drop water
0 4 TRANS41024 tumblr_nioqfprXtM1u1ok9so1_400 What does the man do after cover face ?touch face	What does the man do after cover face ?smile	What does the man do after cover face ?kiss woman	What does the man do after cover face ?shake head once	What does the man do after cover face ?run finger through hair
4 3 TRANS38970 tumblr_niqkwep2tt1u992i0o1_400 What does the man in chair do after sit still ?smile	What does the man in chair do after sit still ?bite lip	What does the man in chair do after sit still ?kiss	What does the man in chair do after sit still ?start talking	What does the man in chair do after sit still ?lift hand in the shape of a heart
0 1 TRANS48643 tumblr_nq9j5lIaD11uz0qnyo1_500 What does the lady do before lean on wall ?talk	What does the lady do before lean on wall ?lift head	What does the lady do before lean on wall ?laugh	What does the lady do before lean on wall ?lie on a stair	What does the lady do before lean on wall ?say yes
0 1 TRANS34809 tumblr_na8mwwLFDM1skvnslo1_400 What does the man do before pick up hat ?slide hand	What does the man do before pick up hat ?raise hand	What does the man do before pick up hat ?bite lip	What does the man do before pick up hat ?miss to pick up ball	What does the man do before pick up hat ?kiss other girl
1 0 TRANS46086 tumblr_nb54zugNnA1qdrz8wo1_500 What does the man do after report news ?push someone away	What does the man do after report news ?smile	What does the man do after report news ?laugh	What does the man do after report news ?kiss man	What does the man do after report news ?happy
