4 1 TRANS10165 tumblr_na0tm0ReHw1tj7hseo1_250 What does the woman do before talk ?lick lips	What does the woman do before talk ?wave	What does the woman do before talk ?sway on road	What does the woman do before talk ?sniff fire	What does the woman do before talk ?lean forward
3 0 TRANS22524 tumblr_njpa4yFBB41s4vjdko1_400 What does the woman do after stare straight ahead ?blink	What does the woman do after stare straight ahead ?lift head	What does the woman do after stare straight ahead ?with eye open	What does the woman do after stare straight ahead ?raise eye up	What does the woman do after stare straight ahead ?in costume
4 2 TRANS49699 tumblr_n98k21fpdu1t5ojzdo1_250 What does the woman do before smoke ?shake head	What does the woman do before smoke ?raise right arm	What does the woman do before smoke ?look on	What does the woman do before smoke ?throw hand forward	What does the woman do before smoke ?blow smoke
2 4 TRANS7669 tumblr_nk43srE90O1t7ej2to1_250 What does the woman in brown jacket do before hold hand ?skate down the ramp	What does the woman in brown jacket do before hold hand ?remove something in a whiteboard	What does the woman in brown jacket do before hold hand ?shake head	What does the woman in brown jacket do before hold hand ?clap hand	What does the woman in brown jacket do before hold hand ?cross arm
3 1 TRANS17460 tumblr_nkiqdkU0Xw1sn9nmoo1_400 What does the man do after look at camera ?run	What does the man do after look at camera ?smile	What does the man do after look at camera ?on a table	What does the man do after look at camera ?use both hand	What does the man do after look at camera ?lower arm
1 4 TRANS38512 tumblr_nr8msaCuBE1u84va7o1_400 What does the woman with black hair do after hold head ?lean forward	What does the woman with black hair do after hold head ?lift it over head	What does the woman with black hair do after hold head ?flip cloth	What does the woman with black hair do after hold head ?swing controller	What does the woman with black hair do after hold head ?say yes
1 0 TRANS31117 tumblr_nqy0wwLGsd1tl934lo1_250 What does the guy on right do before miss high five ?high fives other guy	What does the guy on right do before miss high five ?hug	What does the guy on right do before miss high five ?dig on a sheet	What does the guy on right do before miss high five ?kiss neck	What does the guy on right do before miss high five ?bite donut
1 2 TRANS39138 tumblr_nk2cflszPt1u04jkto1_500 What does the woman do after put hands down ?drop box on himself	What does the woman do after put hands down ?point	What does the woman do after put hands down ?sing	What does the woman do after put hands down ?run	What does the woman do after put hands down ?bite a man's lip
1 2 TRANS18181 tumblr_ncsujftSr51qhutsto1_400 What does the man in foodie do before look up ?cover face with hand	What does the man in foodie do before look up ?nod head	What does the man in foodie do before look up ?hang head	What does the man in foodie do before look up ?land on skateboard	What does the man in foodie do before look up ?wave
2 3 TRANS15074 tumblr_nir1ryJpQJ1slj978o1_400 What does the man do after run across road ?tap man on chest	What does the man do after run across road ?nod head	What does the man do after run across road ?bike down ramp	What does the man do after run across road ?lie down	What does the man do after run across road ?adjust the page
2 4 TRANS6418 tumblr_n9yi9qpZL21sz8fueo1_250 What does the man do after shake head ?skate	What does the man do after shake head ?signal come on	What does the man do after shake head ?tilt head back	What does the man do after shake head ?dance down the street	What does the man do after shake head ?purse lips
4 1 TRANS58446 tumblr_ngi5u3ur0k1tp3tpno1_400 What does the man do after turn head ?start to walk away	What does the man do after turn head ?bend down	What does the man do after turn head ?run	What does the man do after turn head ?pick up left hand	What does the man do after turn head ?look down
0 4 TRANS19278 tumblr_nfzcqzYrw51rmpwnoo1_400 What does the woman do after swing hand to forward ?woman hold two finger up	What does the woman do after swing hand to forward ?become digusted	What does the woman do after swing hand to forward ?person hold dog	What does the woman do after swing hand to forward ?speak	What does the woman do after swing hand to forward ?bounce head in air
1 3 TRANS45238 tumblr_nrae7mMdrN1ua4mf8o1_400 What does the cat do after face clean ?close eye	What does the cat do after face clean ?move object away from face	What does the cat do after face clean ?step forward	What does the cat do after face clean ?cheese on face	What does the cat do after face clean ?push man down
3 0 TRANS17505 tumblr_njprg882nT1u9v8ero1_400 What does the man do before close mouth ?yell	What does the man do before close mouth ?in the street	What does the man do before close mouth ?holds papers	What does the man do before close mouth ?cover face with it	What does the man do before close mouth ?balance coin
